"Tamanho do Vetor","Tempo Médio (nanos)","Trocas Médias","Iterações Médias"
"50","30120.0","628.0","677.0"
"500","800240.0","65893.0","66392.0"
"1000","1069800.0","254069.0","255068.0"
"5000","3614300.0","6367897.0","6372896.0"
"10000","1.408068E7","2.5220342E7","2.5230341E7"
