"Tamanho do Vetor","Tempo Médio (nanos)","Iterações Médias"
"50","91680.0","221.0"
"500","122360.0","3852.0"
"1000","324540.0","8699.0"
"5000","1482620.0","55312.0"
"10000","2780920.0","120555.0"
