"Tamanho do Vetor","Tempo Médio (nanos)","Iterações Médias"
"50","39500.4","258.0"
"500","158120.0","4302.0"
"1000","354459.8","9560.0"
"5000","1023599.8","59589.0"
"10000","2003240.0","129269.0"
