"Tamanho do Vetor","Tempo Médio (nanos)","Trocas Médias","Iterações Médias"
"50","86539.8","628.0","2450.0"
"500","1511420.4","65893.0","249500.0"
"1000","1957300.0","254069.0","999000.0"
"5000","2.48723E7","6367897.0","2.4995E7"
"10000","8.58722202E7","2.5220342E7","9.999E7"
